stopword removal,Score,Sentiment
israel lenyap muka bumi,-1,Negatif
setan kah tramklau cina memasuk snjta bolehtrud matamu amerika serikat masuk bom israel lknat,-2,Negatif
lupa irannnnntu pr menghabisi biadab laknatulloh israhell tuntasayo lanjutkan yakasihan lebanon disikat berulang kali,0,Netral
iran cina rusia bikin bangkrut dolar trump nato boikot pildun trump melaui spanyolfrancisjerman dkk kesombongan trump,-1,Negatif
mati mati mati kau amerika serikat,0,Netral
amerika serikat menyatakn penutupan iran ai,-1,Negatif
tramp urusan negara oarang,0,Netral
terpokus selat hormuz iran waspada diwilayah darat serangan darat,-1,Negatif
kerna berebut selat global resah,-1,Negatif
sebenar tramharus cek kejiwan nya,-1,Negatif
amrik tahi,-1,Negatif
bangsa penjajah teroris zionis yahudi mengganggu rakyat palestineya allah tolonglah balas serangan penjajah teroris zionis yahudi libanon pasukan bersenjata iran insyaallah allah hu akbar,1,Positif
iran menantang asisrael asisrael menantang dunia biarkan perang dunia,-3,Negatif
lu bebek wilaya iran tutup buka hakk lu maksa terserah iran,-3,Negatif
kesombongan trump berdpak buruk,-1,Negatif
batal pertemuan pakistan trump menerima poin persyaratan irandan pakistan perundingan amerika menyodorkan persyaratan gencatan senjata masuk akal selat hormuz wilayah kedaulatan iran berhak amerika ikutan memblokade wilayah kedaulatan iran iran byr hak iran keki amerika sekutunya,0,Netral
iran tunduk amerika serikat angkat senjata,1,Positif
konten hoax,-1,Negatif
hncurkn amerika serikat israill bravo iran,0,Netral
semoga indonesia blokir iran,-1,Negatif
asu israel negara teroris ancaman dunia dibasmi layaknya kanker,-1,Negatif
seharus donalteram bom biar leyap muka bumi,0,Netral
calon penghuni panti jompo susah,0,Netral
odgj dipuja oten indonesia,0,Netral
lancarkan dron kapal selamnya iran,0,Netral
amerika negara perampok,0,Netral
hancur leburkan amerika serikat israel teroris biar dunia aman tentram damai,0,Netral
donald bebek turun presiden chi ancam,0,Netral
keroyok israel laknatullah,0,Netral
asutuntutannya berubah ubah presidennya periksa kejiwaannya tramp indikasi depresi odgj,-2,Negatif
keroyok israel,0,Netral
trik negara membenci iran inti israel,-1,Negatif
israel musyrik allah swt,1,Positif
bagus berani masuk negara serangan bravo iran,-2,Negatif
miskin amerika pimpin trumklo diturunkan trump jabatannya,-1,Negatif
pendukunq iran segenap masyrakat islam dunia doa bantu semoga iran kuku ber hasil melemakan musuh asdan zionis israel aamiinn,2,Positif
mantap mending gagal tuntutan licik amerika merugikan iran,0,Netral
buru berani china,0,Netral
trump perang kalah fakta lapangan odgj,-2,Negatif
omong kosong presiden stres,-2,Negatif
macan ompong aumbya,0,Netral
cina semoga bertindak biar amerika serikat israel arogan semena mena negara,-2,Negatif
lihat pigai tentera israel banci menembaki penduduk sipil buka matamu lebarlebar biar salah penafsiran kau broo,-1,Negatif
hahahaha sindi news iran menutup selat hormuz diluar negeri amerika serikat menutup selat hormuz,-2,Negatif
thapus trump aman,0,Netral
anarkisan bebek aworanya membawa amerika jurang hancuran,0,Netral
donald bebek gila,0,Netral
amerika musyrik allah swt,1,Positif
orangorang kafir dikalahkan dunia digiring neraka jahannam seburukburuknya,-1,Negatif
iran berhak menutup selat hormuz amerika berhak amerika memblokade kapal trump merampok,-3,Negatif
hiraukan siasat apapun zionis israel laknatullah amerika serikat suka gertakan takut percayalah zaman kehancuran kaum sombong licik penuh siasat tipu daya tanda tanda alam sesungguhnya tanah air udara api mati hidup allahu akbar bravo iran rakyat indonesia bangga,-3,Negatif
haaajjaaaarrrr memasuki wilayah terotorial wilayah iranegk bacotttttsiiikkkaaatttttttthuuuuhhh,0,Netral
memutarbalikan fakta senang indonesia,-1,Negatif
lawak israel kalah iran menyerang negara,-2,Negatif
selat hormuz dipagar bambu pik,-1,Negatif
pikun diwancarai menyambung,-1,Negatif
trump percaya bangsa bangsa bravo iran,1,Positif
trump mabok cari china prancis spanyol pakistan rusia parah,-3,Negatif
presiden setres malulogika wilayh bayar hak diaapa negara jalan tol masyarakat bayardasar amerika serikat israel profaganda malusekaan urat malu adanama doang negara adidayakerjaan campur merampas hak negara mulu,1,Positif
menang enapa gencatan,0,Netral
penjajahtak malutak faham bahasa,-1,Negatif
trump anjing,-1,Negatif
setan nyaho semoga cepat mampus,-2,Negatif
donalbebek gila,0,Netral
lenyapkan presiden odgj muka bumi amerika serikat,1,Positif
duh budak israel bangkrut selat hormuz tutup irang budak israel bingung situabangka bebek,-1,Negatif
cina takut amerika serikat cina iran rusia rudal peralatan tentera amerika serikat teluk hormuz ppeehh,0,Netral
trump hilangan akal,0,Netral
tramb mngncm chinajangan teriak buktikan,-1,Negatif
stres ta amerika serikat memblokade sok gagah keok,-3,Negatif
amerika rewel nuklir streeesss kali negara,-1,Negatif
memblokade hurmuzsenjata tuan trumph,0,Netral
gila lawan cina membusuk tercapai,1,Positif
bravo iran sikat habis kapal asdan israelngacer kapal odgj,-2,Negatif
hadapi iran maju allahuakbar iran berani takut,0,Netral
mju iran semoga sukses menjaga nama muslim,1,Positif
sikat jenderal us jionis israel arogan biar jera habisi bravo iran,-1,Negatif
penjajah dilenyapkan veravo iran pemberani lanjutkan tugasmu melenyapkan negara penjajah and sekutunya nyawa dibayar nyawa veravo iran,1,Positif
strategi amerika serikat selesai mah pokoknya hitungan amerika serikat unjuk negara adidaya dana bayar harga geopolitik dinamika eventnya perang negara frontal pengin perangyg haus perang omongan doang spanyol dipancing pokoknya kocak tentukan sikap uang berbisnis negara adidaya angkat senjata keluarkan persediaan militer perang enak untung jualan alat militer terima konsekuensi diperangi kocak,-4,Negatif
demua sekutu wajib melawan israel amerika serikat gara jegara susah,-4,Negatif
tni bertindak membuka selat hormuz,-1,Negatif
mengomong lakukan amerika serikat diam kpl musuh dasar laut,-1,Negatif
trump gila kasih kesempatan,0,Netral
trump jago,1,Positif
aki trump lahbiangkeladinya,0,Netral
mengatur mengatur hak negara negara surut nurut donald,-1,Negatif
berani kepo maunya china amerika serikat ngebacot china,-1,Negatif
pemerasan trump dengn menggandakkn pajak negara pemerasan maling teriak maling bego,-4,Negatif
beritanya kebalik,-1,Negatif
langsung tembak biarkan menginjak selat hormuz bravo iran,-1,Negatif
terserah iran wilayah,-1,Negatif
mantap xinjing ping bicara langsung bertindakbeda mengomong kosong bohong,0,Netral
dunia milik trumdunia milik bangsa,2,Positif
dimana jet tempur libanon jet tempur tukut penjajah zionis,0,Netral
mantap iran jaga tterus,1,Positif
bravo iran rudal kapal amerika serikat kroninya sikap politik gentle,-1,Negatif
buktikan iran serang kapal amerika lalang hidung iran,-3,Negatif
dikwatirkan dibawah selat hormuz kabel bessr jaringan internet dunia diledakkan dunia gelap gulita poin syat amerika serikat dikurangibegitu irantpi amerika serikat mngjk mediasi poin kekeh samasaya pribadi mndukung damaiagar kebngkitan negara sehancur hancurnyatpi damai duanya hancur korban berguna rakyat kecilknpa bergunakarna mati sahit taukarna mati bom kematian hati terikat duniakematian shahid,1,Positif
bravo israel amerika,0,Netral
kebijakan iran kapal amerika serikat kapal israel hajar rudal hipersonix,-2,Negatif
tenggelamkan trump,0,Netral
hancurkan amerika aman dunia,0,Netral
sunni berani amaran syiah,0,Netral
mulut trump terlampau cerewet diatur negara atur amerika,-3,Negatif
donald trump presiden sakit kejiwaan,0,Netral
asyik perang hayo hancurkan fasilitas iran,0,Netral
media indonesia indonesia berita media indonesia indonesia memanipulasi berita menyudutkan amerika serikat dunia susah dibohongi media menyiarkan info kredibel,-3,Negatif
iran is best,0,Netral
iran lenyapkan israel muka bumi amin,0,Netral
mantap cari china,0,Netral
habisin masuk selat hormuz wilayah iran sendiriganyang donald trump membantu negara asingbisa lawan china berani lawan china,-1,Negatif
aba langsung sikat langsung sikat aba,4,Positif
negosiasi berguna menekan korban penyerangan iran menyerah kalah semoga perundingan bullshit perang musuh binasa,-4,Negatif
amerika selat hormuz donald bebek blokade,0,Netral
israel dimuka bumi,0,Netral
israel manusia hati nurani,1,Positif
donald bebek sedeng,0,Netral
hancurkan donald bebek bebek goreng saji,1,Positif
amerika serikat ngawur atur nukril negara nenek moyang atur negara atur nukril indonesia menciptakan nukril,-1,Negatif
drom jumawa,0,Netral
gabung bopkecuali pengecut takut madurokn memenuhi kehendak mamarika indak masuk akal sehat alasanya perdamaiam,-3,Negatif
trump bicara pantatnya si mencret,-1,Negatif
otaknya us dimana ikutan memblock bunuh harga minyak amrik marah rakyatnya donald bebek bentar makzulkan,-2,Negatif
iran berjuang takut,0,Netral
dunia internasional tangkap donald bebek setanyahoo penjahat perang,-2,Negatif
pbb manfaatnya,1,Positif
amerika serikat melarang cina menyuplai senjata iran israel ukraina amerika serikat amerika serikat menyuplai senjata altireli perang dengar amerika serikat iblis penghancur,0,Netral
donald stres obat,-2,Negatif
go block trump coba menyerang iran selat hormuz pungut biaya negara kena imbas,-4,Negatif
trump nafsu tenaga lembek,1,Positif
donald trump mulut bau sampah,-3,Negatif
basi merangkai berita kekalahan iran kemenangan kebenaran perang israelamerika iran media kanohabagi berita media kanoha sampah,-5,Negatif
tuchhhas blokade selat hormuzhahahahahamakin hancur iran syiahtidak minyak masuk barang senjata cina,-1,Negatif
israel amerika negara teroris,0,Netral
kapok donald bebek,-1,Negatif
kenavasaudi ingonidiah vadadiam,0,Netral
kau hey trump gila kau lakukan selat hormuzmau mengeruk kekayaan iran yaaadasar zionist gila,1,Positif
perang dunia,-1,Negatif
hati iran peringatan tembak memasuki selat hormuz love you iran,-1,Negatif
israel serang libanon iran ge cepat gempur israel tanah neta nyahu isdet,-2,Negatif
amerika serikat sengaja bunuh,-2,Negatif
negara sial,-1,Negatif
penerbangan domestic mahal bos diperas ketidakmampuan pemerintah mengendalikan biaya transportasi domestik,2,Positif
mimpi siang bolong tramp halusi nasi pikun traump bilang militan iran kalah malu traump,-1,Negatif
musuh iran amerika kalah musuh china coba amerika berani jago serang kapal china,-4,Negatif
ditunggu amerika serikat serang ditunggu amerika serikat,1,Positif
negara berdaulat sengaja invasipbb diamberarti kerjasama pbb,-1,Negatif
donald bebek mulut bausombong penjajahpenjahat peranglihat mukanya muntahsibau,-1,Negatif
donald bebik gila ta mengakuwi kekalahan iran malunya amerika mengaku polisi dunia mata iran bunika,-2,Negatif
biadabnya tentara zionis isriwil tembak warga sipil palestina,-1,Negatif
donald trump anjing gila,-1,Negatif
trump anjing,-1,Negatif
mati donald bebek berambisi polisi dunia penjajah sok pahlawan,0,Netral
panas china permasalahan jalur laut ikutan perang jugahadehdwngan penutupan jalur udara menunjukan kekuatan power merekachina,-4,Negatif
turunkan residen teram,0,Netral
oten mahluk mengajak perang teram tangkap biar pesta njilatin pantatnya teram,-1,Negatif
amirika hak blokade laut wilayah negaranya penjajah dilawan,0,Netral
selamat malam israel anjing,-1,Negatif
rudali ran kasih ampun,0,Netral
tenggelamkan kapal amerika serikat israel,-1,Negatif
donald trump presiden stres sedunia,0,Netral
menggenapi perjanjian teram panggil yohanes,-1,Negatif
berani menyerang china tamat sudahraja iblis amrik menyala berantakan kota militer china iran,-4,Negatif
pengin lihat china turun gelanggan arena oktagon menarik ditonton bersiaplah trump,1,Positif
allahu akbar,0,Netral
teram biar pendukung nyembah teram halelintaaar,1,Positif
putar ulang berita initop iran,-1,Negatif
maksudnya donald bebek muka kera lawan peduli amerika serikat,-2,Negatif
indonesia luncurkan tni palestin omon,0,Netral
trump main sanksi diantisipasi cina,0,Netral
perang nuklir,-1,Negatif
donald menghibur menang,0,Netral
komdigi blokir situs judol tolol,-2,Negatif
bismilah republik islam iran allah amin allah alhamdulilah allah allahuakbar allahuakbar allahuakbar,5,Positif
lawan cina tskut amerika,0,Netral
presiden amerika donald trump gilacoba sobat dengar trump omongan tebalikbalik woooyyyy presiden gila,2,Positif
omong tandanya pengecut,-2,Negatif
trump menutup nato negara dunia mendukungnya bermusuhan dunia ngancam china iran hadapi kekuatan china unggul iran,-1,Negatif
biadab iseael ibliiss,0,Netral
iran suriah mesir yaman lebanon hamas irak turki ahok ratakan dajal israel,-1,Negatif
allahmereka kaum melampaui batassegerakan musnahkan allah,1,Positif
berita bohong indonesia,-2,Negatif
negara libanon termanja pasukan pbb libanon negaranya serang zionis kotak balas jaga rakyatnya negaranya serahkan iran,-3,Negatif
iran takut amerika serikat china,0,Netral
suaminya donald trump idiot,-1,Negatif
perundingan amerika iran menguntungkan iran amerika licik untung poin iran setujui gencatan senjata permintaan amerika amerika mengikuti kemauan iran semoga iran serang amerika israel maksimal israel hancur amerika hancur ekonomi,2,Positif
iran kuat iran hebat,0,Netral
jionis tida musnahkn seharus negara kasih jionis,0,Netral
donald bebek bacot pembohong,-1,Negatif
klinkau rm,0,Netral
donald dog jokowi setanyahu level anjing pembohong dah licik,-3,Negatif
alangkah menyedihkan amerika dipimpin odgj,-1,Negatif
mulut trump setannyahu dakjal wajib ditutup,-2,Negatif
hajar bgian kpla trump mnsia bsr kpla,-1,Negatif
intinya amerika serikat mengambil menguwasai minyak selat hormuz bjkan hak amerika serikat hak iran dukung doa iran melawan penjajah,1,Positif
mantap ok gasssss lanjutkan perang menang,2,Positif
donl bebek nggedabrus,0,Netral
donald gila duduki kursi presiden memalukan kasihan rakyat amerika,1,Positif
semoga baling baling helikopter terlepas kepala donald bebek,-1,Negatif
bravo iran,0,Netral
bacot donald bebek berani cocot doankdonalasu,0,Netral
mntap perang waebiar modar kabeh,-3,Negatif
cina siaga perang amerika,-1,Negatif
china diam buktikan hai china,1,Positif
iran best,0,Netral
mantaaaappppp lraaaannnnn,0,Netral
ngancam cina urusan iran kibarkan bendera putih,-2,Negatif
takut iran cepat lenyapkan amerika pencuri harta muslim,1,Positif
donald bebek jeung setanyahu,0,Netral
bravo iran,0,Netral
giliran negara iran mencari keuntungan selat hormuz trump marah parah merampok sumber daya negara bravo save palestinahizabullah,-2,Negatif
gencatan senjata amerika serikat kianat israel damai israel benarbenar menyerah tertunduk,-1,Negatif
go cina rudal nuklir amerika zionis,0,Netral
mantap iran,1,Positif
cina tunduk amerika serikat penjajah mungin amerika serikat menang perang melawan cina amerika serikat cina perang amerika serikat hancur,-2,Negatif
ayooonegara china lawan amerika serikat trump lemah hantam rudal iranrusiakorea utara,-1,Negatif
detik detik iran jaman batu,-1,Negatif
ngancem cina bebek lawan cina,-1,Negatif
trump bocil bangetssss,0,Netral
hadapi titik darah penghabisan indonesia mendukung sepenuhnya persia takbir,-3,Negatif
amerika serikat cari mati iran negara negara arab yyg,-1,Negatif
iran mantap,1,Positif
biar amerika nuklirr,0,Netral
lihat zionis serang lebanon,0,Netral
mantap iran jadikan selat hormuz lautan api mengubur pasukan iblis amerika,-2,Negatif
pemerrasan dibilang nyadia tlah membunuh rakyat iran palestinakok negara setuju amerika serikat astaghfirullahkacau negara negara pengecut,0,Netral
kapal amerika israel biarkan penjajah prampok,-1,Negatif
seru cina kosongkan ruang udara,-2,Negatif
mantap iran tembak kapal amerika serikat zionisisrahell lanatulloh tenggelamkan kapal,-2,Negatif
